Date,Open,High,Low,Close,Adj Close,Volume
1/1/2013,256.079987,284.720001,253.259995,265.5,265.5,84226400
2/1/2013,268.929993,274.299988,255.110001,264.269989,264.269989,68661700
3/1/2013,263.269989,277.399994,252.070007,266.48999,266.48999,58505700
4/1/2013,266.980011,275.799988,248.559998,253.809998,253.809998,76916200
5/1/2013,253.899994,271.910004,245.75,269.200012,269.200012,59050500
6/1/2013,268.959991,283.339996,262.950012,277.690002,277.690002,58575800
7/1/2013,279,313.619995,277.160004,301.220001,301.220001,67536900
8/1/2013,303.079987,306.209991,279.329987,280.980011,280.980011,43773900
9/1/2013,284.730011,320.570007,284.170013,312.640015,312.640015,43468800
10/1/2013,314.220001,368.399994,296.5,364.029999,364.029999,77295400
11/1/2013,365.630005,394.100006,341.880005,393.619995,393.619995,54207700
12/1/2013,399,405.630005,379.5,398.790009,398.790009,55686700
1/1/2014,398.799988,408.059998,357.76001,358.690002,358.690002,81011900
2/1/2014,358.980011,365.869995,337.730011,362.100006,362.100006,83009000
3/1/2014,358.73999,383.109985,330.880005,336.369995,336.369995,75253500
4/1/2014,338.089996,348.299988,288,304.130005,304.130005,138278700
5/1/2014,304.130005,314.869995,284.380005,312.549988,312.549988,78579200
6/1/2014,312.589996,340.720001,303.839996,324.779999,324.779999,76580100
7/1/2014,325.859985,364.850006,311.859985,312.98999,312.98999,99426000
8/1/2014,313.690002,346.670013,304.589996,339.040009,339.040009,62031700
9/1/2014,339.980011,349.380005,317.640015,322.440002,322.440002,68032800
10/1/2014,322.040009,325.160004,284,305.459991,305.459991,111058700
11/1/2014,306.23999,341.26001,292.290009,338.640015,338.640015,68983700
12/1/2014,338.119995,340.640015,293.029999,310.350006,310.350006,86821400
1/1/2015,312.579987,359.5,285.25,354.529999,354.529999,103006800
2/1/2015,350.049988,389.369995,350.01001,380.160004,380.160004,70689500
3/1/2015,380.850006,388.420013,365.649994,372.100006,372.100006,55428700
4/1/2015,372.100006,452.649994,368.339996,421.779999,421.779999,84348300
5/1/2015,423.820007,439,414.549988,429.230011,429.230011,51854000
6/1/2015,430.399994,447.040009,419.140015,434.089996,434.089996,54981900
7/1/2015,439.350006,580.570007,425.570007,536.150024,536.150024,102070000
8/1/2015,537.450012,542.73999,451,512.890015,512.890015,82813600
9/1/2015,499.140015,549.780029,490.5,511.890015,511.890015,76667800
10/1/2015,511,630.719971,506,625.900024,625.900024,97070400
11/1/2015,627.130005,682.77002,620.409973,664.799988,664.799988,87296200
12/1/2015,673.75,696.440002,635.27002,675.890015,675.890015,90162400
1/1/2016,656.289978,657.719971,547.179993,587,587,130156000
2/1/2016,578.150024,581.799988,474,552.52002,552.52002,124075300
3/1/2016,556.289978,603.23999,538.580017,593.640015,593.640015,93773800
4/1/2016,590.48999,669.97998,585.25,659.590027,659.590027,78380700
5/1/2016,663.919983,724.22998,656,722.789978,722.789978,90509100
6/1/2016,720.900024,731.5,682.119995,715.619995,715.619995,74535000
7/1/2016,717.320007,766,716.539978,758.809998,758.809998,68545100
8/1/2016,759.869995,774.97998,750.349976,769.159973,769.159973,49981900
9/1/2016,770.900024,839.950012,756,837.309998,837.309998,67326900
10/1/2016,836,847.210022,774.609985,789.820007,789.820007,77023000
11/1/2016,799,800.840027,710.099976,750.570007,750.570007,109943300
12/1/2016,752.409973,782.460022,736.700012,768.659973,768.659973,79279600
1/1/2017,757.919983,843.840027,747.700012,823.47998,823.47998,70596900
2/1/2017,829.210022,860.859985,803,845.039978,845.039978,71743800
3/1/2017,853.049988,890.349976,833.5,886.539978,886.539978,60710700
4/1/2017,888,949.590027,884.48999,924.98999,924.98999,73510800
5/1/2017,927.799988,1001.200012,927.799988,994.619995,994.619995,76202000
6/1/2017,998.590027,1017,927,968,968,96120800
7/1/2017,972.789978,1083.310059,951,987.780029,987.780029,78812400
8/1/2017,996.109985,1006.400024,936.330017,980.599976,980.599976,77261700
9/1/2017,984.200012,1000,931.75,961.349976,961.349976,59291800
10/1/2017,964,1122.790039,950.369995,1105.280029,1105.280029,83334100
11/1/2017,1105.400024,1213.410034,1086.869995,1176.75,1176.75,77165000
12/1/2017,1172.050049,1194.780029,1124.73999,1169.469971,1169.469971,57760200
