Date,Open,High,Low,Close,Adj Close,Volume
1/1/2013,27.440001,32.509998,27.42,30.98,30.98,1675851700
2/1/2013,31.01,31.02,26.34,27.25,27.25,957639800
3/1/2013,27.049999,28.68,24.719999,25.58,25.58,727180500
4/1/2013,25.629999,28.1,25.15,27.77,27.77,738509200
5/1/2013,27.85,29.07,23.26,24.35,24.35,982094800
6/1/2013,24.27,25.190001,22.67,24.879999,24.879999,788331500
7/1/2013,24.969999,38.310001,24.15,36.799999,36.799999,1438017100
8/1/2013,37.299999,42.259998,36.02,41.290001,41.290001,1344994100
9/1/2013,41.84,51.599998,41.439999,50.23,50.23,1583083800
10/1/2013,49.970001,54.830002,45.259998,50.209999,50.209999,2032635000
11/1/2013,50.849998,52.09,43.549999,47.009998,47.009998,1357311900
12/1/2013,46.900002,58.580002,46.259998,54.650002,54.650002,1517533200
1/1/2014,54.830002,63.369999,51.849998,62.57,62.57,1294714800
2/1/2014,63.029999,71.440002,60.700001,68.459999,68.459999,1110774100
3/1/2014,66.959999,72.589996,57.98,60.240002,60.240002,1255440000
4/1/2014,60.459999,63.91,54.66,59.779999,59.779999,1883965100
5/1/2014,60.43,64.300003,56.259998,63.299999,63.299999,1120155500
6/1/2014,63.23,68,61.790001,67.290001,67.290001,863389800
7/1/2014,67.580002,76.739998,62.209999,72.650002,72.650002,1028365000
8/1/2014,72.220001,75.989998,71.550003,74.82,74.82,590763600
9/1/2014,75.010002,79.709999,73.07,79.040001,79.040001,720995800
10/1/2014,78.779999,81.160004,70.32,74.989998,74.989998,1083643000
11/1/2014,75.470001,78.269997,72.510002,77.699997,77.699997,490965300
12/1/2014,77.260002,82.169998,74.400002,78.019997,78.019997,534527100
1/1/2015,78.580002,79.25,73.540001,75.910004,75.910004,546033100
2/1/2015,76.110001,81.370003,73.449997,78.970001,78.970001,475148700
3/1/2015,79,86.07,77.260002,82.220001,82.220001,575349900
4/1/2015,82.5,85.589996,78.32,78.769997,78.769997,542124600
5/1/2015,79.239998,81.849998,76.790001,79.190002,79.190002,421870700
6/1/2015,79.300003,89.400002,78.660004,85.769997,85.769997,537560000
7/1/2015,86.769997,99.239998,85.230003,94.010002,94.010002,790617800
8/1/2015,93.529999,98.739998,72,89.730003,89.730003,796692700
9/1/2015,86.849998,96.489998,85.720001,89.900002,89.900002,635399800
10/1/2015,90.050003,105.120003,88.360001,101.970001,101.970001,571409100
11/1/2015,101.720001,110.650002,100.470001,104.239998,104.239998,547232800
12/1/2015,104.830002,107.919998,101.459999,104.660004,104.660004,440171900
1/1/2016,101.949997,112.839996,89.370003,112.209999,112.209999,792511900
2/1/2016,112.269997,117.589996,96.82,106.919998,106.919998,874152500
3/1/2016,107.830002,116.989998,104.400002,114.099998,114.099998,521458900
4/1/2016,113.75,120.790001,106.309998,117.580002,117.580002,741539300
5/1/2016,117.830002,121.080002,115.879997,118.809998,118.809998,460335600
6/1/2016,118.5,119.440002,108.230003,114.279999,114.279999,450876100
7/1/2016,114.199997,128.330002,112.970001,123.940002,123.940002,470108600
8/1/2016,123.849998,126.730003,122.07,126.120003,126.120003,365670900
9/1/2016,126.379997,131.979996,125.599998,128.270004,128.270004,376518100
10/1/2016,128.380005,133.5,126.75,130.990005,130.990005,313284400
11/1/2016,131.410004,131.940002,113.550003,118.419998,118.419998,643923800
12/1/2016,118.379997,122.5,114,115.050003,115.050003,408728400
1/1/2017,116.029999,133.139999,115.510002,130.320007,130.320007,378958900
2/1/2017,132.25,137.179993,130.300003,135.539993,135.539993,384700500
3/1/2017,136.470001,142.949997,136.080002,142.050003,142.050003,342098600
4/1/2017,141.929993,151.529999,138.809998,150.25,150.25,275586300
5/1/2017,151.740005,153.600006,144.419998,151.460007,151.460007,403586900
6/1/2017,151.75,156.5,144.559998,150.979996,150.979996,414757100
7/1/2017,151.720001,175.490005,147.800003,169.25,169.25,419907600
8/1/2017,169.820007,173.050003,165,171.970001,171.970001,303622800
9/1/2017,172.399994,174,161.559998,170.869995,170.869995,304818300
10/1/2017,171.389999,180.800003,168.289993,180.059998,180.059998,318146600
11/1/2017,182.360001,184.25,174,177.179993,177.179993,350998700
12/1/2017,176.029999,182.279999,169.009995,176.460007,176.460007,316990500
