Date,Open,High,Low,Close,Adj Close,Volume
1/1/2013,27.440001,29.790001,27.42,29.42,29.42,289484200
1/8/2013,29.51,32.209999,28.860001,30.950001,30.950001,434466200
1/15/2013,30.639999,31.709999,29.27,29.66,29.66,338463500
1/22/2013,29.75,32.509998,29.74,32.470001,32.470001,262034300
1/29/2013,32,32.07,28.01,28.110001,28.110001,529622400
2/5/2013,28.26,29.290001,28.040001,28.26,28.26,195934800
2/12/2013,27.67,28.75,27.1,28.32,28.32,212387800
2/19/2013,28.23,29.08,26.82,27.27,27.27,212139100
2/26/2013,27.360001,28.120001,26.34,27.719999,27.719999,245424700
3/5/2013,27.879999,28.68,27.209999,28.139999,28.139999,228536000
3/12/2013,28.1,28.32,25.780001,26.49,26.49,153086600
3/19/2013,26.530001,26.9,25.08,25.129999,25.129999,151252100
3/26/2013,25.08,26.280001,24.719999,25.530001,25.530001,130089600
4/2/2013,25.77,27.799999,25.299999,26.85,26.85,257187900
4/9/2013,26.58,28.1,26.360001,26.52,26.52,159601800
4/16/2013,26.809999,27.200001,25.15,25.969999,25.969999,138934000
4/23/2013,26.219999,27.620001,25.77,26.98,26.98,124290500
4/30/2013,27.129999,29.07,27.01,27.57,27.57,307516100
5/7/2013,27.549999,27.85,26.530001,26.82,26.82,169287100
5/14/2013,26.889999,27.280001,25.690001,25.76,25.76,162594800
5/21/2013,25.870001,26.08,24.08,24.309999,24.309999,167966800
5/28/2013,24.540001,24.950001,23.26,23.85,23.85,246709500
6/4/2013,23.889999,24.6,22.67,24.33,24.33,216933400
6/11/2013,24.030001,24.35,23.26,24.02,24.02,151862600
6/18/2013,24.09,25.190001,23.379999,23.940001,23.940001,197725200
6/25/2013,24.139999,25.059999,23.99,24.809999,24.809999,206658700
7/2/2013,24.700001,25.040001,24.15,24.709999,24.709999,76092600
7/9/2013,25.07,26.43,25.030001,26.280001,26.280001,124659000
7/16/2013,26.389999,26.780001,25.6,26.049999,26.049999,151209000
7/23/2013,26.1,35.630001,25.969999,35.43,35.43,737062800
7/30/2013,35.650002,39.32,35.32,39.189999,39.189999,587531300
8/6/2013,39.110001,39.25,37.700001,38.220001,38.220001,248799900
8/13/2013,38.240002,38.32,36.02,37.810001,37.810001,273774600
8/20/2013,38.349998,41.939999,37.689999,41.34,41.34,306648000
8/27/2013,40.68,42.259998,39.419998,41.290001,41.290001,256651800
9/3/2013,41.84,44.790001,41.439999,44.040001,44.040001,334722600
9/10/2013,44.240002,45.619999,42.43,42.509998,42.509998,318130400
9/17/2013,42.5,47.599998,42.43,47.189999,47.189999,425909400
9/24/2013,48.509998,51.599998,48.16,50.23,50.23,504321400
10/1/2013,49.970001,51.290001,49.060001,50.52,50.52,374644000
10/8/2013,50.599998,50.599998,45.259998,49.509998,49.509998,510361000
10/15/2013,49.990002,54.830002,49.18,53.849998,53.849998,363862000
10/22/2013,54.330002,54.759998,49.610001,50.23,50.23,305743000
10/29/2013,50.73,52.09,46.5,48.220001,48.220001,653429000
11/5/2013,47.790001,50.450001,45.73,46.200001,46.200001,393493000
11/12/2013,46,49.57,45.799999,45.830002,45.830002,350921000
11/19/2013,46.259998,47.549999,44.040001,44.82,44.82,287531000
11/26/2013,44.66,47.540001,43.549999,47.060001,47.060001,200736900
12/3/2013,46.75,49.389999,46.259998,48.84,48.84,215825000
12/10/2013,48.639999,54.5,48.540001,53.810001,53.810001,394738000
12/17/2013,54.759998,58.32,53.75,57.77,57.77,582628200
12/24/2013,58.27,58.580002,53.43,53.709999,53.709999,230491800
12/31/2013,54.119999,57.259998,53.91,57.200001,57.200001,193370500
1/7/2014,57.700001,58.959999,55.380001,55.91,55.91,331603500
1/14/2014,56.459999,58.57,56.07,56.299999,56.299999,146558000
1/21/2014,56.599998,59.310001,51.849998,53.549999,53.549999,287098700
1/28/2014,54.02,63.77,53.189999,61.48,61.48,454026900
2/4/2014,62.049999,64.57,61.27,63.549999,63.549999,244127500
2/11/2014,63.75,67.580002,63.349998,67.089996,67.089996,191564300
2/18/2014,66.940002,71.440002,65.730003,70.779999,70.779999,384378600
2/25/2014,70.949997,71.220001,66.510002,67.410004,67.410004,272661200
3/4/2014,68.660004,72.150002,67.620003,72.029999,72.029999,261406300
3/11/2014,72.5,72.589996,66.620003,68.739998,68.739998,263263800
3/18/2014,68.760002,69.599998,63.360001,64.099998,64.099998,274942900
3/25/2014,64.889999,66.190002,57.98,60.240002,60.240002,399002900
4/1/2014,60.459999,63.91,55.439999,56.950001,56.950001,443129400
4/8/2014,57.68,63.18,57.169998,58.889999,58.889999,457816000
4/15/2014,59.290001,61.240002,55.880001,61.240002,61.240002,335801000
4/22/2014,62.650002,63.650002,54.66,56.139999,56.139999,495568700
4/29/2014,56.09,62.279999,55.84,61.220001,61.220001,334325000
5/6/2014,60.98,61.150002,56.259998,59.830002,59.830002,296898000
5/13/2014,59.66,60.889999,57.310001,59.209999,59.209999,243735000
5/20/2014,59.5,61.48,58.18,61.349998,61.349998,205417000
5/27/2014,61.619999,64.300003,61.57,63.080002,63.080002,227426500
6/3/2014,62.619999,64.360001,61.790001,62.880001,62.880001,196142000
6/10/2014,63.529999,66.470001,63.5,64.190002,64.190002,229775000
6/17/2014,64.099998,65.75,63.349998,65.370003,65.370003,178556000
6/24/2014,65.360001,68,65.269997,67.290001,67.290001,222920800
7/1/2014,67.580002,68.440002,65.120003,65.290001,65.290001,129086200
7/8/2014,65.059998,68.169998,62.209999,67.900002,67.900002,242529000
7/15/2014,67.959999,69.959999,66.040001,69.400002,69.400002,203937800
7/22/2014,69.760002,76.739998,68.610001,74.919998,74.919998,330643000
7/29/2014,74.720001,75.190002,71.550003,73.510002,73.510002,196481000
8/5/2014,73.199997,74,71.790001,73.440002,73.440002,155906000
8/12/2014,73.089996,74.720001,72.220001,74.589996,74.589996,141712600
8/19/2014,74.809998,75.580002,73.57,75.019997,75.019997,110329000
8/26/2014,75,75.989998,73.730003,74.82,74.82,108504000
9/2/2014,75.010002,78.169998,74.82,77.889999,77.889999,151703000
9/9/2014,77.589996,78.360001,73.43,74.580002,74.580002,167365800
9/16/2014,73.519997,78.300003,73.07,76.800003,76.800003,198098000
9/23/2014,76.330002,79.199997,76.040001,79,79,167930000
9/30/2014,79.349998,79.709999,75.639999,77.559998,77.559998,176546000
10/7/2014,77.050003,77.949997,72.519997,72.989998,72.989998,186864000
10/14/2014,74,77.089996,70.32,76.949997,76.949997,276399000
10/21/2014,77.559998,80.82,77.150002,80.279999,80.279999,171587000
10/28/2014,80.18,81.160004,72.900002,73.879997,73.879997,348873000
11/4/2014,74.230003,76.800003,73.650002,75,75,138971100
11/11/2014,74.949997,75.660004,73.540001,74.239998,74.239998,119878900
11/18/2014,74.449997,74.800003,72.510002,74.010002,74.010002,110450800
11/25/2014,74.209999,78.269997,74.129997,75.099998,75.099998,112727400
12/2/2014,75.330002,77.25,74.400002,76.519997,76.519997,97866900
12/9/2014,75.199997,78.879997,74.779999,76.989998,76.989998,148519300
12/16/2014,76.190002,81.889999,74.589996,81.449997,81.449997,169711400
12/23/2014,82.019997,82.169998,79.709999,80.019997,80.019997,52333400
12/30/2014,79.849998,80.589996,76.860001,77.190002,77.190002,78935900
1/6/2015,77.230003,78.620003,75.360001,76.720001,76.720001,113752800
1/13/2015,77.230003,78.080002,73.540001,75.18,75.18,106846100
1/20/2015,75.720001,78.470001,74.82,77.5,77.5,103445100
1/27/2015,76.709999,78.160004,73.75,74.989998,74.989998,219314700
2/3/2015,75.190002,76.349998,73.449997,74.440002,74.440002,99703000
2/10/2015,74.849998,76.870003,74.5,75.739998,75.739998,72545600
2/17/2015,75.300003,80.339996,75.080002,78.839996,78.839996,154602800
2/24/2015,78.5,81.370003,78.099998,79.75,79.75,128004500
3/3/2015,79.610001,81.989998,78.519997,79.440002,79.440002,118001100
3/10/2015,78.5,79.379997,77.260002,78.07,78.07,97238800
3/17/2015,78.360001,84.959999,78.339996,84.43,84.43,173005500
3/24/2015,84.709999,86.07,82.139999,83.199997,83.199997,145707700
3/31/2015,82.900002,83.5,80.800003,82.440002,82.440002,80519500
4/7/2015,82.650002,83.940002,81.709999,83.010002,83.010002,91773800
4/14/2015,83.169998,83.690002,80.370003,83.089996,83.089996,108806600
4/21/2015,84,85.589996,81.480003,81.910004,81.910004,201554400
4/28/2015,81.830002,81.900002,78.110001,78.809998,78.809998,118033000
5/5/2015,78.550003,79.230003,77.050003,78.010002,78.010002,109541400
