Date,Open,High,Low,Close,Adj Close,Volume
11/1/2013,45.099998,50.09,38.799999,41.57,41.57,270185200
12/1/2013,41.790001,74.730003,40.400002,63.650002,63.650002,575331100
1/1/2014,65,70.43,55.59,64.5,64.5,423741500
2/1/2014,65.919998,67.239998,49.990002,54.91,54.91,347890100
3/1/2014,53.889999,56.09,43.310001,46.669998,46.669998,194765500
4/1/2014,46.709999,47.59,37.240002,38.970001,38.970001,289236600
5/1/2014,39.009998,40.77,29.51,32.439999,32.439999,739728500
6/1/2014,32.889999,42,31.620001,40.970001,40.970001,656475500
7/1/2014,42.060001,48,35.950001,45.189999,45.189999,668477100
8/1/2014,45.009998,50.349998,42.509998,49.75,49.75,457936800
9/1/2014,50.02,53.639999,47.560001,51.580002,51.580002,533219100
10/1/2014,51.080002,55.990002,39.939999,41.470001,41.470001,733566300
11/1/2014,40.549999,43.950001,38.810001,41.740002,41.740002,446318900
12/1/2014,41.290001,41.290001,34.619999,35.869999,35.869999,366568900
1/1/2015,36.23,40.950001,35.540001,37.529999,37.529999,380773200
2/1/2015,37.700001,50.009998,36.919998,48.080002,48.080002,510505200
3/1/2015,48.259998,51.869999,45.130001,50.080002,50.080002,378942700
4/1/2015,51,53.490002,38.07,38.959999,38.959999,537133600
5/1/2015,39.189999,39.240002,36.099998,36.669998,36.669998,372854800
6/1/2015,36.689999,37.790001,33.509998,36.220001,36.220001,495594800
7/1/2015,36.049999,38.82,30.85,31.01,31.01,497305700
8/1/2015,30.85,31.09,21.01,26.459999,26.459999,523212500
9/1/2015,27.23,29,24.6,26.940001,26.940001,320895700
10/1/2015,26.469999,31.870001,24.34,28.459999,28.459999,692044000
11/1/2015,28.540001,30.15,24.9,25.4,25.4,293232300
12/1/2015,25.389999,26.25,21.99,23.139999,23.139999,397022900
1/1/2016,22.639999,23,15.48,16.799999,16.799999,464158700
2/1/2016,17.889999,18.959999,13.91,18.120001,18.120001,550495200
3/1/2016,18.469999,20.32,15.33,16.549999,16.549999,425827300
4/1/2016,16.41,17.98,14.32,14.62,14.62,548837900
5/1/2016,14.73,15.49,13.73,15.22,15.22,438255200
6/1/2016,15.22,17.07,14,16.91,16.91,497807200
7/1/2016,16.93,18.9,15.69,16.639999,16.639999,504618400
8/1/2016,16.65,21.1,16.200001,19.209999,19.209999,573757800
9/1/2016,19.370001,23.98,17.52,23.049999,23.049999,804595400
10/1/2016,23.780001,25.25,16.280001,17.950001,17.950001,898993400
11/1/2016,17.84,19.51,17.26,18.49,18.49,406381300
12/1/2016,18.82,19.84,16.16,16.299999,16.299999,360947300
1/1/2017,16.309999,17.780001,16.209999,17.620001,17.620001,270848300
2/1/2017,17.84,18.77,15.5,15.77,15.77,528565300
3/1/2017,15.87,16.1,14.32,14.95,14.95,310140900
4/1/2017,14.97,16.790001,14.12,16.48,16.48,338959200
5/1/2017,17.139999,19.790001,16.969999,18.32,18.32,481326600
6/1/2017,18.219999,19.01,16.27,17.870001,17.870001,342809100
7/1/2017,17.940001,20.879999,16,16.09,16.09,442239500
8/1/2017,16.200001,17.1,15.67,16.91,16.91,257159200
9/1/2017,16.969999,18.49,16.440001,16.870001,16.870001,220791900
10/1/2017,16.799999,21.959999,16.780001,20.620001,20.620001,482599000
11/1/2017,20.74,22.48,19.26,20.58,20.58,363917300
12/1/2017,20.52,25.559999,20.120001,24.01,24.01,369977600
